PARAM,AVG_TIME(ms),RUN,FAILED
10,399.1ms,0,0
10,250.6ms,1,0
10,246.4ms,2,0
100,341.3ms,0,0
100,263.2ms,1,0
100,243.5ms,2,0
1000,803.0ms,0,0
1000,443.1ms,1,0
1000,321.5ms,2,0
