PARAM,AVG_TIME(ms),RUN,FAILED
1,40.5ms,0,0
1,37.3ms,1,0
1,39.2ms,2,0
10,60.8ms,0,0
10,49.1ms,1,0
10,53.9ms,2,0
20,93.0ms,0,0
20,76.7ms,1,0
20,83.5ms,2,0
50,140.7ms,0,0
50,164.0ms,1,0
50,172.5ms,2,0
100,155.9ms,0,0
100,147.0ms,1,0
100,146.9ms,2,0
1000,1023.1ms,0,0
1000,1041.6ms,1,0
1000,1092.0ms,2,0
