PARAM,AVG_TIME(ms),RUN,FAILED
1,77.4ms,0,0
1,104.7ms,1,0
1,96.7ms,2,0
10,432.6ms,0,0
10,231.4ms,1,0
10,186.3ms,2,0
20,298.0ms,0,0
20,263.5ms,1,0
20,225.1ms,2,0
50,712.6ms,0,0
50,411.9ms,1,0
50,404.0ms,2,0
100,708.9ms,0,0
100,712.6ms,1,0
100,648.5ms,2,0
1000,2701.9ms,0,0
1000,2763.9ms,1,0
1000,2949.3ms,2,0
