PARAM,AVG_TIME(ms),RUN,FAILED
10,492.1ms,0,0
10,490.6ms,1,0
10,458.6ms,2,0
100,4922.0ms,0,0
100,4187.1ms,1,0
100,3168.3ms,2,0
1000,6070.6ms,0,0
1000,3149.9ms,1,0
1000,3268.9ms,2,0
